subject,W.ML,W.mean,W.median,W.MAP,W.sd,W.lower,W.upper,Wlog.mean,Wlog.sd,MAP.BIC
0,0.0025390625,0.000111506093421,2.74432353367e-05,3.18417946285e-32,0.000270917080335,4.99170200688e-08,0.000571391669978,-12.2634641113,2.97527096444,3.21887582487
1,0.014892578125,0.00316725767955,0.00310190647595,0.00309111066928,9.94579036612e-05,0.00309136343292,0.00339301563724,-5.75537065753,0.0308500207251,73.8365066331
2,0.01318359375,0.00237844776955,0.00237004408263,0.00236411293418,1.41005329337e-05,0.00236434552692,0.00239952552234,-6.04132472576,0.00591597540314,75.3061826031
3,0.0025390625,4.90672906607e-05,5.21058358457e-06,8.82143920115e-24,8.54385999873e-05,2.48339874766e-08,0.000225000663564,-12.2505499084,2.60105697595,3.21887582487
4,0.0025390625,1.86570771183e-05,6.12159754744e-07,1.10335384596e-32,5.42275492874e-05,9.4645926704e-09,6.33263584946e-05,-13.7746535346,2.91519884985,3.21887582487
5,0.0025390625,0.000100854165174,1.32441023323e-05,4.38347233986e-22,0.000136484961437,4.20218152647e-07,0.000345736402086,-10.5126545275,1.83342409091,3.21887582487
6,0.0025390625,2.52523733363e-05,1.72889939449e-07,4.85908663821e-24,5.50543321522e-05,8.48833599464e-09,0.000176298255783,-13.7583066673,2.97654964839,3.21887582487
7,0.0025390625,6.69342605367e-05,8.92605633615e-07,4.11553455072e-23,0.000151194980642,6.10463786285e-08,0.000462264468993,-13.0859775836,3.09882232733,3.21887582487
8,0.0025390625,2.12465467494e-05,3.30421122106e-08,2.53390901605e-34,6.67926468476e-05,1.52765225008e-09,0.000214547053076,-15.7510098129,3.44310331151,3.21887582487
9,0.0025390625,4.27915548275e-05,1.56972784907e-05,5.23367424898e-24,0.000110458554406,1.29960965895e-08,0.000100435337788,-12.5594592069,3.00775624525,3.21887582487
10,0.0025390625,9.65975993885e-05,6.51189168217e-06,7.14587510834e-24,0.000152339783952,3.38216047355e-08,0.000377897525869,-11.7372567549,2.94101360366,3.21887582487
11,0.0025390625,5.48124344997e-07,2.17686352131e-07,1.06361384966e-34,8.42444789629e-07,8.39626205705e-10,2.06336545647e-06,-16.7738888394,2.85244110242,3.21887582487
12,0.0025390625,1.51714280914e-06,8.86264610834e-08,4.69272330598e-24,1.82193432987e-06,4.72884779146e-09,4.01023131805e-06,-15.2215974945,2.47345926988,3.21887582487
13,0.0025390625,8.25633969624e-05,1.07199503442e-06,8.31534706301e-25,0.000197906299204,8.59157330767e-08,0.000549397814609,-12.7596910705,2.93260341038,3.21887582487
14,0.0025390625,5.35636248562e-06,3.67431957394e-07,2.71010395768e-32,7.08738460908e-06,2.13451586857e-08,1.43396823237e-05,-14.2202689045,2.46977778649,3.21887582487
15,0.0025390625,1.46489891239e-05,3.04245741343e-07,4.3369902395e-34,3.09574428633e-05,2.2744934411e-09,8.95898726311e-05,-15.7335791227,3.63967337525,3.21887582487
16,0.01318359375,0.00243092726793,0.00237356466717,0.0023641129575,0.000111837900385,0.00236555330528,0.00272163292282,-6.02048396827,0.0441408349256,76.6924769642
17,0.0025390625,5.0373177497e-05,7.1624234092e-06,1.31324532691e-23,9.72890145393e-05,2.32762392373e-08,0.000288538636444,-13.1578484108,3.31376587244,3.21887582487
18,0.0025390625,8.08362897487e-05,2.35736270923e-07,0.0,0.000163698849671,6.85105496876e-11,0.000467054804766,-14.5559208426,4.64452978788,3.21887582487
19,0.0025390625,2.54408415372e-05,9.06074581378e-07,1.26400111776e-23,4.99164422016e-05,4.8685130859e-08,5.8054441417e-05,-12.9828854965,2.68478653145,3.21887582487
20,0.0025390625,8.61710512391e-05,3.7232672533e-05,2.93148922032e-25,0.000157005546597,1.84937243491e-09,0.000479027704969,-13.3370747417,4.88257678385,3.21887582487
21,0.0025390625,1.64478136736e-05,1.15321719712e-05,4.60124792777e-35,2.16617991338e-05,9.29239801118e-09,6.01984320083e-05,-13.0860965516,3.31010222842,3.21887582487
22,0.0025390625,2.84218893025e-05,8.14410382254e-07,9.33365101976e-26,6.11022369884e-05,1.77738295731e-08,0.000213252253675,-14.1008284023,3.3242306701,3.21887582487
23,0.01337890625,0.00248713751063,0.00246517746554,0.00246056765457,3.43034007331e-05,0.00246069669918,0.002544823647,-5.99671710182,0.013701197963,75.2653606086
24,0.0025390625,1.57507840027e-05,1.12683801975e-06,0.0,2.24494033358e-05,2.00398278018e-08,5.09209547953e-05,-13.4980475809,2.82714065417,3.21887582487
25,0.0025390625,4.72508892832e-05,2.59619185115e-06,5.23304582456e-32,9.3662435041e-05,1.07505876626e-07,0.000389262054687,-12.4161660816,2.67702641472,3.21887582487
26,0.0025390625,4.80361945791e-05,2.69816218023e-06,8.4530205258e-24,0.000104580848037,1.63831572543e-08,0.000307392934818,-12.6483888517,2.83750848932,3.21887582487
27,0.01337890625,0.00259323173337,0.00251035365762,0.00246056835345,0.000226124030582,0.00246211374931,0.00277717321644,-5.95807234103,0.0771547200405,75.2653606086
28,0.013671875,0.00257897050229,0.0025739106043,0.00256522711239,2.68962050753e-05,0.00256540940257,0.00258744928061,-5.96041775049,0.0101949849677,73.836506633
29,0.0025390625,2.28141455451e-05,7.54223785826e-07,1.0189201781e-32,3.82668437322e-05,2.694466351e-08,9.21426016315e-05,-12.8630091885,2.55611285695,3.21887582487
30,0.0025390625,1.31391571079e-05,6.98260202115e-07,0.0,1.99561601498e-05,2.19070714505e-08,4.57865746187e-05,-14.0635388266,2.91631690278,3.21887582487
31,0.0025390625,1.86382267996e-05,4.14424606669e-07,0.0,2.87207620371e-05,1.76944762179e-08,6.90953912881e-05,-13.7639898353,2.94051774156,3.21887582487
32,0.0025390625,4.2350084357e-05,3.49635600564e-06,1.93000497839e-31,8.69988134501e-05,2.30871741842e-07,0.000264994966078,-12.0731338276,2.02714320647,3.21887582487
