subject	age	gender
1	4	M
2	5	M
3	6	M
4	7	M
5	8	M
6	4	M
7	5	M
8	6	M
9	7	M
10	8	M
11	4	M
12	5	M
13	6	M
14	7	M
15	8	M
16	4	M
17	5	M
18	6	M
19	7	M
20	8	M
21	4	M
22	5	M
23	6	M
24	7	M
25	8	M
26	4	M
27	5	M
28	6	M
29	7	M
30	8	M
31	4	M
32	5	M
33	6	M
34	7	M
35	8	M
36	4	F
37	5	F
38	6	F
39	7	F
40	8	F
41	4	F
42	5	F
43	6	F
44	7	F
45	8	F
46	4	F
47	5	F
48	6	F
49	7	F
50	8	F
51	4	F
52	5	F
53	6	F
54	7	F
55	8	F
56	4	F
57	5	F
58	6	F
59	7	F
60	8	F
61	4	F
62	5	F
63	6	F
64	7	F
65	8	F
66	4	F
67	5	F
68	6	F
69	7	F
70	8	F
71	4	F
72	5	F
73	6	F
74	7	F
75	8	F
76	4	F
77	5	F
78	6	F
79	7	F
80	8	F
81	4	F
82	5	F
83	6	F
84	7	F
85	8	F
86	4	F
87	5	F
88	6	F
89	7	F
90	8	F
91	4	F
92	5	F
93	6	F
94	7	F
95	8	F
96	4	F
97	5	F
98	6	F
99	7	F
100	8	F
101	4	F
102	5	F
103	6	F
104	7	F
105	8	F
106	4	F
107	5	F
108	6	F
109	7	F
110	8	F
111	4	F
112	5	F
113	6	F
114	7	F
115	8	F
116	4	F
117	5	F
118	6	F
119	7	F
120	8	F
121	4	F
122	5	F
123	6	F
124	7	F
125	8	F
126	4	F
127	5	F
128	6	F
129	7	F
130	8	F
131	4	F
132	5	F
133	6	F
134	7	F
135	8	F
136	4	F
137	5	F
138	6	F
139	7	F
140	8	F
141	4	F
142	5	F
143	6	F
144	7	F
145	8	F
146	4	F
147	5	F
148	6	F
149	7	F
150	8	F
151	4	F
152	5	F
153	6	F
154	7	F
155	8	F
156	4	F
157	5	F
158	6	F
159	7	F
