subject	n1	n2	ntrials	ncorrect
0	1	2	2	2
0	2	3	2	2
0	3	4	2	2
0	4	5	2	2
0	5	6	2	2
0	6	7	2	2
0	7	8	2	2
0	8	9	2	2
0	9	10	2	2
0	10	11	2	2
0	11	12	2	2
0	12	13	2	2
0	13	14	2	2
0	14	15	6	6
0	15	16	7	5
0	16	17	3	2
0	17	18	4	4
0	18	19	6	5
0	19	20	5	4
0	20	21	3	2
0	21	22	2	2
0	22	23	2	2
0	23	24	4	4
0	24	25	4	3
0	25	26	2	2
0	26	27	2	2
0	27	28	2	2
0	28	29	2	2
0	29	30	2	2
0	30	31	2	2
0	31	32	2	2
0	32	33	2	2
0	33	34	2	2
0	34	35	2	2
0	35	36	4	4
0	36	37	3	2
0	37	38	1	1
1	1	2	2	2
1	2	3	2	2
1	3	4	2	2
1	4	5	2	2
1	5	6	2	2
1	6	7	2	2
1	7	8	2	2
1	8	9	2	2
1	9	10	2	2
1	10	11	4	4
1	11	12	4	3
1	12	13	4	4
1	13	14	3	2
1	14	15	2	2
1	15	16	2	2
1	16	17	10	10
1	17	18	11	7
1	18	19	10	8
1	19	20	13	10
1	20	21	11	7
1	21	22	6	4
1	22	23	2	2
2	1	2	2	2
2	2	3	2	2
2	3	4	2	2
2	4	5	2	2
2	5	6	2	2
2	6	7	2	2
2	7	8	2	2
2	8	9	2	2
2	9	10	2	2
2	10	11	2	2
2	11	12	2	2
2	12	13	2	2
2	13	14	2	2
2	14	15	2	2
2	15	16	2	2
2	16	17	2	2
2	17	18	2	2
2	18	19	2	2
2	19	20	2	2
2	20	21	4	4
2	21	22	4	3
2	22	23	2	2
2	23	24	4	4
2	24	25	7	6
2	25	26	8	6
2	26	27	3	2
2	27	28	4	4
2	28	29	5	4
2	29	30	5	4
2	30	31	3	2
2	31	32	2	2
2	32	33	2	2
2	33	34	2	2
2	34	35	3	3
2	35	36	3	2
2	36	37	1	0
3	1	2	2	2
3	2	3	2	2
3	3	4	2	2
3	4	5	2	2
3	5	6	2	2
3	6	7	2	2
3	7	8	2	2
3	8	9	2	2
3	9	10	2	2
3	10	11	2	2
3	11	12	2	2
3	12	13	2	2
3	13	14	2	2
3	14	15	2	2
3	15	16	2	2
3	16	17	2	2
3	17	18	2	2
3	18	19	4	4
3	19	20	6	5
3	20	21	3	2
3	21	22	4	4
3	22	23	9	8
3	23	24	12	9
3	24	25	11	9
